0,CombatZoneResize,241,226,406,391,TLResume
0,HeartTeleport,320,304,,,
0,HeartMode,0,,,,
0,TLPause,,,,,
0,SET,Loop,12,,,
0,JMPZ,28,$Loop,,,
0,SUB,Loop,$Loop,1,,
0,RND,Direction,4,,,
0,ADD,Jump,$Direction,1,,
0,JMPREL,$Jump,,,,
0,JMPREL,4,,,,
0,JMPREL,5,,,,
0,JMPREL,6,,,,
0,JMPREL,7,,,,
0,SansBody,DS_HandRight,,,,
0,JMPREL,7,,,,
0,SansBody,DS_HandDown,,,,
0,JMPREL,5,,,,
0,SansBody,DS_HandLeft,,,,
0,JMPREL,3,,,,
0,SansBody,DS_HandUp,,,,
0,JMPREL,1,,,,
0.26666,SansSlam,$Direction,,,,
0.2,BoneStab,$Direction,35,0.4,0,
0,HeartMode,0
0,Sound,Ding,1
0.3,JMPABS,6,,,,
0,EndAttack,,,,,
