0,CombatZoneResize,239,239,409,379,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,BackGroundColor,,,,,,,,
0,TLpause,,,,,,,,
0,SansBody,FC_HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0.2,BoneStab,2,40,0.4,0.2,,,,
0,BoneStab,0,95,0.4,0.2,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0.8,SansBody,FC_HandRight,,,,,,,
0,SansSlam,0,,,,,,,
0.2,BoneStab,2,60,0.4,1,,,,
0,BoneStab,0,60,0.4,1,,,,
,,,,,,,,,
0.6,SansBody,FC_HandUp,,,,,,,
0,SansSlam,3,,,,,,,
,,,,,,,,,
0,BoneV,109,187,90,0,275,,,
0,BoneV,534,187,90,2,275,,,
0,BoneV,109,294,100,0,275,,,
0,BoneV,534,294,100,2,275,,,
,,,,,,,,,
1,SansBody,FC_HandDown,,,,,,,
0,SansSlam,1,,,,,,,
0.6,BoneV,113.5,243.5,93,0,450,,,
0,BoneV,113.5,360.5,13,0,450,,,
0,SansTorso,FC_Default,,,,,,,
0,SansAnimation,Idle,,,,,,,
,,,,,,,,,
0,BoneV,163.5,243.5,83,0,450,,,
0,BoneV,163.5,350.5,23,0,450,,,
,,,,,,,,,
0,BoneV,213.5,243.5,73,0,450,,,
0,BoneV,213.5,340.5,33,0,450,,,
,,,,,,,,,
0,BoneV,524.5,243.5,93,2,450,,,
,,,,,,,,,
0,BoneV,524.5,360.5,13,2,450,,,
,,,,,,,,,
0,BoneV,474.5,243.5,83,2,450,,,
0,BoneV,474.5,350.5,23,2,450,,,
0,BoneV,424.5,243.5,73,2,450,,,
0,BoneV,424.5,340.5,33,2,450,,,
1,HeartMode,0,,,,,,,
0,Sound,Ding,1,,,,,,
0.05,GasterBlaster,1,323.5,-24,323.5,176,90,0.2,0.5
0,GasterBlaster,1,210,-5.0386,210,176,50,0.2,0.5
0,GasterBlaster,1,442.5,-5.0386,442.5,176,130,0.2,0.5
1,SansBody,FC_HandLeft,,,,,,,
0,SansSlam,2,,,,,,,
0,CombatZoneResize,241,226,406,391,
0,BoneCircle,325,310,24,2,240,0,1,
0.5,BoneScaleChange,1,30,-3,,,,,
0,SansTorso,FC_Default,,,,,,,
0,SansAnimation,Idle,,,,,,,
0.5,HeartMode,0
0,Sound,Ding,1
0,BoneCircle,325,310,2,5,240,0,2,
0.5,BoneScaleChange,2,48,-3,,,,,
1.5,BoneHR,241,206,1000,1,350,2,,
000,BoneHR,241,411,1000,3,350,2,,

0.5,BoneV,221,206,1000,0,350,2,,
000,BoneV,426,206,1000,2,350,2,,

1.0,BoneHR,241,206,1000,1,350,2,,
000,BoneHR,241,411,1000,3,350,2,,

0.5,BoneV,221,206,1000,0,350,2,,
000,BoneV,426,206,1000,2,350,2,,
1.0,BoneHR,241,206,1000,1,350,2,,
000,BoneHR,241,411,1000,3,350,2,,

0.5,BoneV,221,206,1000,0,350,2,,
000,BoneV,426,206,1000,2,350,2,,

2,BoneCircleColor,2,1
0,BoneCircleSpeed,2,0
0,Sound,Ding,1
1,BoneCircleSpeed,2,-3

0.5,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,10,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.5,0
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,86,$gin,1.7,,,,,
0,ADD,gin,$gin,0.015,,,,,
0.1,JMPL,86,$gt,108,,,,,
0,BoneScaleChange,2,48,3,,,,,

0,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,10,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.5,0
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,107,$gin,1.7,,,,,
0,ADD,gin,$gin,0.015,,,,,
0.03555555,JMPL,107,$gt,150,,,,,
1.5,BoneCircleColor,1,1
0,BoneScaleChange,1,100,-7,,,,,
0,Sound,Ding,1
1.5,EndAttack
