0,DSMulti
0,YuriAnimation,NoEyes
0,SoulMovement,1,,,
0.1,SET,Loop,7,,,,,,
0,:RndAttack,,,,,,,,
0,BlackScreen,1,,,,,,,
0,Sound,Flash,,,,,,,
0.13333,BlackScreen,0,,,,,,,
0,SoulMovement,0,,,
0,Sound,Flash,,,,,,,
0,JMPZ,End,$Loop,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Jump,9,,,,,,
0,ADD,Jump,$Jump,1,,,,,
0,JMPREL,$Jump,,,,,,,
0,JMPABS,Attack0,,,,,,,
0,JMPABS,Attack1,,,,,,,
0,JMPABS,Attack2,,,,,,,
0,JMPABS,Attack3,,,,,,,
0,JMPABS,Attack4,,,,,,,
0,JMPABS,Attack5,,,,,,,
0,JMPABS,Attack6,,,,,,,
0,JMPABS,Attack7,,,,,,,
0,JMPABS,Attack8,,,,,,,
0,:Attack0,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,SansRandomX,,,
0,CombatZoneResizeInstant,241,226,406,391
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,-30,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$EndX,$EndY,$EndX,$EndY,$Ang,1,0
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,33,$gin,1.7,,,,,
0,ADD,gin,$gin,0.015,,,,,
0,JMPL,33,$gt,20,,,,,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack1,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,SansRandomX,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,SansRandomX,,,
0,RND,Rot,2,,,,,,
0,JMPZ,Attack1Other,$Rot,,,,,,
0,BoneV,128,281,40,0,240,3,,
0,BoneV,128,336,50,0,240,0,,
0,BoneV,512,281,40,2,240,3,,
0,BoneV,512,336,50,2,240,0,,
0.75,SansBody,DS_HandRight
0.1,SansSlam,0
0.1,GasterBlaster,1,496,-40,496,246,90,0.2,0.1
1.4,SansTorso,DS_Default
0,SansANimation,Idle
0,JMPABS,RndAttack,,,,,,,
0,:Attack1Other,,,,,,,,
0,BoneV,128,281,40,0,240,3,,
0,BoneV,128,336,50,0,240,0,,
0,BoneV,512,281,40,2,240,3,,
0,BoneV,512,336,50,2,240,0,,
0.75,SansBody,DS_HandLeft
0.1,SansSlam,2
0.1,GasterBlaster,1,151,-40,151,246,90,0.2,0.1
1.4,SansTorso,DS_Default
0,SansANimation,Idle
0,JMPABS,RndAttack,,,,,,,
0,:Attack2,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,SansRandomX,,,
0,CombatZoneResizeInstant,133,251,508,391
0,HeartTeleport,320,377,,,,,
0,HeartMode,1,,,,,,
0.1,BoneStab,1,30,0.5,10,,,,
0,GasterBlaster,1,324,626,324,466,270,0.4,0.2
0.9,Platform,300,346,40,0,0,0,0,3
0.8,JMPABS,RndAttack,,,,,,,
0,:Attack3,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,SansRandomX,,,
0,CombatZoneResizeInstant,171,276,476,391,,,,
0,HeartMode,1,,,,,,,
0,HeartTeleport,320,376,,,,,,
0,BoneVHC2,200,282,70,0,150,0,1,15,0,0.5,1
0,BoneVHC2,440,282,70,2,150,0,1,15,0,0.5,1
0,BoneVHC2,200,371,15,0,150,0,1,70,1,0.5,
0,BoneVHC2,440,371,15,2,150,0,1,70,1,0.5,
0.7,BoneVHC2,128,282,70,0,150,0,1,15,0,0.5,1
0,BoneVHC2,503,282,70,2,150,0,1,15,0,0.5,1
0,BoneVHC2,128,371,15,0,150,0,1,70,1,0.5,
0,BoneVHC2,503,371,15,2,150,0,1,70,1,0.5,
1.1,BoneVHC2,128,282,70,0,150,0,1,15,0,0.5,1
0,BoneVHC2,503,282,70,2,150,0,1,15,0,0.5,1
0,BoneVHC2,128,371,15,0,150,0,1,70,1,0.5,
0,BoneVHC2,503,371,15,2,150,0,1,70,1,0.5,
1.5,JMPABS,RndAttack,,,,,,,
0,:Attack4,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,SansRandomX,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack4Other,$Side,,,,,,
0,HeartTeleport,506,376,,,,,,
0,BoneVRepeat,200,331,55,0,360,11,24,
0,BoneVRepeat,-64,371,15,0,360,7,24,
1.7,BoneVRepeat,540,331,55,2,360,11,24,
0,BoneVRepeat,804,371,15,2,360,5,24,
2,JMPABS,RndAttack,,,,,,,
0,:Attack4Other,,,,,,,,
0,HeartTeleport,149,376,,,,,,
0,BoneVRepeat,440,331,55,2,360,11,24,
0,BoneVRepeat,704,371,15,2,360,7,24,
1.7,BoneVRepeat,0,331,55,0,360,11,24,
0,BoneVRepeat,-264,371,15,0,360,5,24,
2,JMPABS,RndAttack,,,,,,,
0,:Attack5,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,SansRandomX,,,
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,Platform,309,314,41,0,0,,,
0,Platform,309,354,41,0,0,,,
0,BoneVRepeat,121,364,30,2,0,25,16,
0,RND,Side,2,,,,,,
0,JMPZ,Attack5Other,$Side,,,,,,
0,HeartTeleport,330,304,,,,,,
0,BoneStab,3,45,1,0.1
0.5,BoneStab,1,70,1.2,0.4
1.8,JMPABS,RndAttack,,,,,,,
0,:Attack5Other,,,,,,,,
0,HeartTeleport,330,344,,,,,,
0,BoneStab,1,70,1,0.1
0.5,BoneStab,3,45,1.2,0.4
1.8,JMPABS,RndAttack,,,,,,,
0,:Attack6,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,SansRandomX,,,
0,CombatZoneResizeInstant,241,226,406,391,,,,
0,HeartMode,0,,,,,,,
0,HeartTeleport,320,224,,,,,,
0,RND,Rot,2,,,,,,
0,JMPZ,Attack6Other,$Rot,,,,,,
0,GasterBlaster,1,191,176,191,176,0,0.5,0.6,0,1,0,810,8,1,75,0,0.1
0,GasterBlaster,1,451,176,451,176,180,0.5,0.6,0,1,0,810,8,2,255,0,0.1
0,GasterBlaster,1,449,436,449,436,180,0.5,0.6,0,1,0,810,8,1,75,0,0.1
0,GasterBlaster,1,189,436,189,436,0,0.5,0.6,0,1,0,810,8,2,525,0,0.1
1.15,JMPABS,RndAttack,,,,,,,
0,:Attack6Other,,,,,,,,
0,HeartTeleport,320,384,,,,,,
0,GasterBlaster,1,449,436,449,436,180,0.5,0.6,0,1,0,810,8,1,75,0,0.1
0,GasterBlaster,1,189,436,189,436,0,0.5,0.6,0,1,0,810,8,2,525,0,0.1
0,GasterBlaster,1,191,176,191,176,0,0.5,0.6,0,1,0,810,8,1,75,0,0.1
0,GasterBlaster,1,451,176,451,176,180,0.5,0.6,0,1,0,810,8,2,255,0,0.1
1.15,JMPABS,RndAttack,,,,,,,
0,:Attack7,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,CombatZoneResizeInstant,239,226,404,331,,,,
0,HeartMode,0
0,RND,Side,2,,,,,,
0,JMPZ,Attack7Other,$Side,,,,,,
0,HeartTeleport,320,314
0.2,SineBonesH,45,-20,280,60,30,180,25
0.2,GasterBlaster,0,0,0,189,246,0,0.4,0.4
0,GasterBlaster,0,640,580,460,310,180,0.4,0.4
2,JMPABS,RndAttack,,,,,,,
0,:Attack7Other,,,,,,,,
0,HeartTeleport,320,244
0.2,SineBonesH,45,20,280,60,30,180,25
0.2,GasterBlaster,0,0,0,189,246,0,0.4,0.4
0,GasterBlaster,0,640,580,460,310,180,0.4,0.4
2,JMPABS,RndAttack,,,,,,,
0,:Attack8,,,,,,,,
0,SansTorso,DS_Default,
0,SansAnimation,Idle
0,CombatZoneResizeInstant,121,276,526,391,,,,
0,HeartMode,1,,,,,,,
0,RND,Side,2,,,,,,
0,JMPZ,Attack8Other,$Side,,,,,,
0,HeartTeleport,489,376,,,,,,
0,BoneVRepeat,345,364,20,0,140,6,76,0,1
0,BoneVRepeat,297,280,82,2,140,6,76,0,2

0.9,BoneCry,1,2,140
0,BoneCry,2,0,140
0,SansBody,DS_HandUp
0,SansSlam,3
0,Sound,Ding,1
0.5,SansBody,DS_HandDown
0,SansSlam,1
0.4,JMPABS,RndAttack,,,,,,,
0,:Attack8Other,,,,,,,,
0,HeartTeleport,168,376,,,,,,
0,BoneVRepeat,297,364,20,2,140,6,76,0,3
0,BoneVRepeat,345,280,82,0,140,6,76,0,4

1,BoneCry,4,2,140
0,BoneCry,3,0,140
0,SansBody,DS_HandUp
0,SansSlam,3
0,Sound,Ding,1
0.5,SansBody,DS_HandDown
0,SansSlam,1
0.4,JMPABS,RndAttack,,,,,,,
0,:End,,,,,,,,
0,SansX,320,,,
0,CombatZoneResizeInstant,33,251,608,391,,,,
0,DSMultiS
0,EndAttack,,,,,,,,
