0,CombatZoneResize,239,226,404,391,TLResume,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0,TLpause
0,DTp4,
0.3,SlashGT5
0,BoneVRepeat,229,216,200,0,400,500,20,2
0,SET,gt,0,,,,,,
0,SET,gin,1,,,,,,
0,MUL,Ang,$gt,-50,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,150,,,,,
0,MUL,EndY,$Y,150,,,,,
0,MUL,X,$EndX,3,,,,,
0,MUL,Y,$EndY,3,,,,,
0,ADD,X,$X,320,,,,,
0,ADD,Y,$Y,306,,,,,
0,ADD,EndX,$EndX,320,,,,,
0,ADD,EndY,$EndY,306,,,,,
0,ADD,Ang,$Ang,180,,,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.5,0
0,ADD,gt,$gt,$gin,,,,,
0,JMPNL,9,$gin,1.7,,,,,
0,ADD,gin,$gin,0.015,,,,,
1.3,JMPL,9,$gt,10,,,,,
0.3,SlashGT5D
1,HPMAX2
0,EndAttack

