0,DDLCsansy
0,CombatZoneResizeInstant,239,226,404,331,,,,
0,HeartTeleport,320,304,,,,,,
0,HeartMode,0,,,,,,,
0.5,SineBonesH,85,-20,220,60,30,180,22
0,Sound,GasterBlaster,1.4,,,,,,
0,COmbatZoneSpeed,30
0,CombatZoneResize,239,26,404,131,,,,
7.5,COmbatZoneSpeed,100
0,CombatZoneResize,239,26,404,391,,,,
0.2,SET,Loop,12,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,27,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,29,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,31,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,33,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,2,0,0,0,0,0,17
0.1,JMPNZ,12,$Loop,,,,,,
3,DDLCsansyT
0,EndAttack

