0.5,CombatZoneResize,279,306,354,381,,,,
0,HeartTeleport,320,332,,,,,,
0,HeartMode,0,,,,,,,
0,SansFadeOut
0,YuriBye
1,DDLCBackFade2

0,NAWA,320,344,
0,Sayori,150,150
0,BoneVRepeat,269,365,14,0,160,300,10,0,2
0,BoneVRepeat,269,306,20,0,160,300,10,0,2
0,BoneHRRepeat,269,401,25,3,160,300,10,0,3
0,BoneHRRepeat,340,401,25,3,160,300,10,0,4
1,BoneCry,2,3,50
0,NAWAcry
0,Sound,GasterBlaster,0.8
0,CombatZoneSpeed,50,
0,CombatZoneResize,279,59,354,131,
5,BoneCry,2,3,50,2
0,BoneCry,3,0,50,2
0,BoneCry,4,2,50,2
0,Sound,Ding,1
0,DDLCbackFade2End
1,CombatZoneResize,249,89,384,221,,,,
0,DDLCbackFade3
0,Natsuki,500,150
0.5,Cupcake
0,Sound,Flash,1
0.5,CombatDamage

1,CombatZoneResize,149,189,284,321,,,,
2,Cupcake
0,Sound,Flash,1
1,CombatZoneResize,349,139,484,271,,,,
3.5,CombatZoneResize,349,239,484,371,,,,
0,Cupcake
0,Sound,Flash,1
3,CombatZoneResize,269,139,404,271,,,,
3.5,CombatZoneResize,239,226,404,391,,,,
4,CupcakeEnd
0,CombatDamageEnd
0,DDLCbackFade3End
1,DDLCbackFade4
0,CombatZoneResize,219,206,424,391,,,,
0,Monika,330,120
0.5,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight
1,TextAttack
0,TextAttackRight


2.5,DDLCbackFade4End
1,DDLCBackFadeEnd
0,SansFadeIn
0,YuriHelo
1,EndAttack
