0,CombatZoneResize,133,251,508,391,TLResume,,
0,HeartTeleport,320,376,,,,,
0,HeartMode,1,,,,,,
0,TLPause,,,,,,,
0,PlatformRepeat2,513,346,121,2,120,7,220
0,PlatformRepeat2,-71,306,161,0,120,7,280
0,DDLCRNDB2
0,SET,Loop,30,,,,,
0,JMPZ,23,$Loop,,,,,
0,SUB,Loop,$Loop,1,,,,
0,RND,Jump,3,,,,,
0,ADD,Jump,$Jump,1,,,,
0,JMPREL,$Jump,,,,,,
0,JMPREL,3,,,,,,
0,JMPREL,4,,,,,,
0,JMPREL,5,,,,,,
0,BoneV,517,257,45,2,120,,
0.5,JMPABS,9,,,,,,
0,BoneV,125,306,40,0,120,,
0.5,JMPABS,9,,,,,,
0,BoneV,517,349,35,2,120,,
0.5,JMPABS,9,,,,,,
0,DDLCRNDB2S
0,EndAttack,,,,,,,
